threshold_minutes,n_visits,n_patients,exposed_visits,exposed_deaths,unexposed_visits,unexposed_deaths,crude_risk_exposed,crude_risk_unexposed,crude_risk_difference,adjusted_risk_exposed,adjusted_risk_unexposed,adjusted_risk_difference,standard_error,ci_low,ci_high,propensity_min_raw,propensity_max_raw,propensity_clipped_count,max_weight,weight_p99,ess_exposed,ess_unexposed,max_abs_smd_before,max_abs_smd_after,imbalanced_features_before,imbalanced_features_after
120,5216,5139,1536,38,3680,64,0.024739583333333332,0.017391304347826087,0.007348278985507245,0.02467165583350919,0.01653961153578046,0.008132044297728727,0.005809326543260894,-0.003254235727062625,0.019518324322520077,0.026508420235024394,0.9999987326534795,23,99.99999999999991,11.825162005427421,917.0732416674307,697.6486758029206,0.8421960992386527,0.2574096478283453,7,1
160,5216,5139,998,24,4218,78,0.02404809619238477,0.01849217638691323,0.00555591980547154,0.02424511556822157,0.017597372647704945,0.0066477429205166255,0.007935171782885022,-0.008905193773938017,0.02220067961497127,0.010826116182412556,0.9999973738340536,14,99.99999999999991,14.529474653096585,496.76814705045746,1349.0842902730683,0.9213223654446567,0.10034730058177782,8,1
200,5216,5139,681,17,4535,85,0.024963289280469897,0.018743109151047408,0.006220180129422489,0.03436742483192165,0.016653929575961693,0.01771349525595996,0.015541455590014868,-0.012747757700469181,0.0481747482123891,0.005251143455296753,0.9999388796099122,36,100.0,18.212878297426975,273.4349221809358,1014.8668059528683,0.9590871130207154,0.18649073514285164,10,4
